frame_id,t_mono_ms,video_frame,rgb_path,depth_path,has_depth,depth_rtt_ms,depth_age_ms,pad_id,pos_x_cm,pos_y_cm,pos_z_cm,yaw_deg,height_cm,vgx,vgy,vgz,pitch_deg,roll_deg,bat_pct,act_roll,act_pitch,act_throttle,act_yaw,ctrl_state,near_left,near_mid,near_right,wander_state,wander_event
1,0,0,,depth/000001.npy,1,141.2,328.6,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2627,0.3647,0.2646,,
2,122,1,,depth/000002.npy,1,144.9,265.9,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2627,0.3687,0.2607,,
3,247,2,,depth/000003.npy,1,141.7,303.8,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3726,0.2588,,
4,373,3,,depth/000004.npy,1,143.2,265.9,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3726,0.2627,,
5,497,4,,depth/000005.npy,1,141.9,221.6,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3726,0.2627,,
6,622,5,,depth/000006.npy,1,143.2,176.8,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3765,0.2627,,
7,746,6,,depth/000007.npy,1,141.1,201.3,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3726,0.2627,,
8,871,7,,depth/000007.npy,1,141.1,326.3,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3726,0.2627,,
9,996,8,,depth/000009.npy,1,144.4,319.2,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3687,0.2588,,
10,1122,9,,depth/000010.npy,1,144.8,255.8,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2627,0.3687,0.2607,,
11,1241,10,,depth/000011.npy,1,145.8,263.1,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3726,0.2588,,
12,1364,11,,depth/000012.npy,1,140.1,260.0,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,HOVER,0.2666,0.3726,0.2627,,
13,1491,12,,depth/000013.npy,1,153.2,221.5,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2627,0.3726,0.2627,WANDER_TURN,"TURN(R,126,obstacle)"
14,1618,13,,depth/000014.npy,1,146.8,179.7,-2.0,-200.0,-200.0,-200.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2666,0.3726,0.2607,WANDER_TURN,
15,1742,14,,depth/000014.npy,1,146.8,303.1,-2.0,-200.0,-200.0,-200.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2666,0.3726,0.2607,WANDER_TURN,
16,1857,15,,depth/000016.npy,1,151.0,314.3,-2.0,-200.0,-200.0,-200.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2627,0.3687,0.2607,WANDER_TURN,
17,1972,16,,depth/000017.npy,1,155.7,266.2,-2.0,-200.0,-200.0,-200.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2666,0.3726,0.2607,WANDER_TURN,
18,2099,17,,depth/000018.npy,1,159.8,244.2,-2.0,-200.0,-200.0,-200.0,7.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2725,0.3804,0.2666,WANDER_TURN,
19,2223,18,,depth/000018.npy,1,159.8,369.2,-2.0,-200.0,-200.0,-200.0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2725,0.3804,0.2666,WANDER_TURN,
20,2341,19,,depth/000020.npy,1,153.9,296.5,-2.0,-200.0,-200.0,-200.0,12.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2725,0.3843,0.2666,WANDER_TURN,
21,2453,20,,depth/000021.npy,1,169.9,248.4,-2.0,-200.0,-200.0,-200.0,17.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2744,0.3765,0.2666,WANDER_TURN,
22,2570,21,,depth/000021.npy,1,169.9,371.6,-2.0,-200.0,-200.0,-200.0,19.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2744,0.3765,0.2666,WANDER_TURN,
23,2702,22,,depth/000023.npy,1,187.8,370.6,-2.0,-200.0,-200.0,-200.0,24.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.3137,0.3491,0.2942,WANDER_TURN,
24,2822,23,,depth/000024.npy,1,158.3,346.2,-2.0,-200.0,-200.0,-200.0,26.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.3804,0.2864,0.3215,WANDER_TURN,
25,2929,24,,depth/000025.npy,1,158.7,222.4,-2.0,-200.0,-200.0,-200.0,29.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.4038,0.2588,0.3647,WANDER_TURN,
26,3056,25,,depth/000025.npy,1,158.7,344.5,-2.0,-200.0,-200.0,-200.0,31.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.4038,0.2588,0.3647,WANDER_TURN,
27,3179,26,,depth/000027.npy,1,153.2,325.2,-2.0,-200.0,-200.0,-200.0,33.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.4197,0.249,0.3804,WANDER_TURN,
28,3303,27,,depth/000028.npy,1,152.6,257.9,-2.0,-200.0,-200.0,-200.0,36.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.3804,0.2432,0.4038,WANDER_TURN,
29,3419,28,,depth/000029.npy,1,152.9,281.0,-2.0,-200.0,-200.0,-200.0,38.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.3098,0.2588,0.4275,WANDER_TURN,
30,3531,29,,depth/000030.npy,1,157.5,225.7,-2.0,-200.0,-200.0,-200.0,43.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2471,0.2825,0.4509,WANDER_TURN,
31,3662,30,,depth/000030.npy,1,157.5,355.7,-2.0,-200.0,-200.0,-200.0,46.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2471,0.2825,0.4509,WANDER_TURN,
32,3779,31,,depth/000032.npy,1,160.4,303.1,-2.0,-200.0,-200.0,-200.0,48.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,40,WANDER_TURN,0.2393,0.2942,0.4626,WANDER_TURN,
