frame_id,t_mono_ms,video_frame,rgb_path,depth_path,has_depth,depth_rtt_ms,depth_age_ms,pad_id,pos_x_cm,pos_y_cm,pos_z_cm,yaw_deg,height_cm,vgx,vgy,vgz,pitch_deg,roll_deg,bat_pct,act_roll,act_pitch,act_throttle,act_yaw,ctrl_state,near_left,near_mid,near_right,wander_state,wander_event
1,0,0,,depth/000001.npy,1,145.2,308.2,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2627,0.3589,0.2705,,
2,118,1,,depth/000002.npy,1,147.2,317.0,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2627,0.3569,0.2686,,
3,236,2,,depth/000003.npy,1,148.1,269.9,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2607,0.3569,0.2705,,
4,361,3,,depth/000004.npy,1,145.7,225.6,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2627,0.3569,0.2705,,
5,487,4,,depth/000005.npy,1,144.9,250.7,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2588,0.3569,0.2705,,
6,612,5,,depth/000006.npy,1,147.0,212.9,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2627,0.3608,0.2666,,
7,738,6,,depth/000006.npy,1,147.0,339.2,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2627,0.3608,0.2666,,
8,864,7,,depth/000008.npy,1,144.3,297.7,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2607,0.3589,0.2705,,
9,991,8,,depth/000009.npy,1,147.0,258.3,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2607,0.3569,0.2686,,
10,1119,9,,depth/000010.npy,1,147.2,286.4,-1.0,-100.0,-100.0,-100.0,86.0,70.0,0.0,0.0,0.0,0.0,-1.0,74.0,0,0,0,0,HOVER,0.2627,0.3608,0.2705,,
